
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-1-1,42,32,23,32,26,19,93,73,45,30.29,30.11,29.87,10,10,5,13,4,12,0.00,4,Snow,88<br />
2014-1-2,39,29,19,25,22,18,100,77,45,30.24,30.14,29.99,10,10,10,8,2,,0.00,0,,63<br />
2014-1-3,60,44,28,25,18,12,86,37,17,29.97,29.73,29.60,10,10,10,16,4,30,0.00,0,,337<br />
2014-1-4,42,26,10,27,19,7,100,90,39,30.04,29.92,29.64,10,4,0,23,5,20,0.00,6,Snow,16<br />
2014-1-5,14,7,0,9,4,-2,92,81,67,30.32,30.17,29.97,10,8,2,12,3,23,0.00,7,Snow,26<br />
2014-1-6,39,26,12,12,6,1,85,64,33,30.22,30.11,30.02,10,10,10,14,2,20,0.07,0,,353<br />
2014-1-7,50,40,30,23,16,5,69,42,18,30.02,29.96,29.91,10,10,5,30,10,40,0.00,2,Rain,270<br />
2014-1-8,37,30,23,23,21,18,86,67,45,30.06,30.00,29.93,10,10,10,6,2,,0.00,1,,265<br />
2014-1-9,39,30,21,27,22,16,100,73,44,29.93,29.78,29.65,10,9,5,15,2,18,0.00,1,,287<br />
2014-1-10,41,36,30,18,10,1,52,37,27,29.84,29.70,29.61,10,10,10,38,12,53,0.00,1,,273<br />
2014-1-11,59,46,33,23,21,14,44,33,23,29.90,29.79,29.62,10,10,10,34,14,51,0.00,0,,257<br />
2014-1-12,53,42,32,27,13,3,53,32,24,29.93,29.72,29.53,10,10,10,30,13,44,0.00,2,,280<br />
2014-1-13,46,40,33,14,10,3,33,28,23,29.99,29.91,29.86,10,10,10,30,17,46,0.00,0,,297<br />
2014-1-14,41,32,23,27,22,14,93,68,33,30.37,30.24,30.00,10,10,5,22,8,34,0.00,4,,120<br />
2014-1-15,53,37,21,21,16,10,93,48,22,30.22,30.08,29.94,10,10,10,32,8,46,0.00,0,,250<br />
2014-1-16,46,39,30,19,14,7,60,38,23,30.24,30.17,30.04,10,10,10,29,9,37,0.00,0,,120<br />
2014-1-17,53,38,24,23,17,10,80,48,23,30.21,30.09,30.00,10,10,10,15,2,25,0.00,0,,334<br />
2014-1-18,55,42,30,23,13,7,51,30,18,30.18,30.13,30.07,10,10,10,10,5,16,0.00,0,,201<br />
2014-1-19,64,47,30,19,12,5,51,23,14,30.07,30.01,29.96,10,10,10,15,6,25,0.00,0,,238<br />
2014-1-20,53,42,30,19,15,5,60,37,15,30.35,30.23,29.96,10,10,10,23,10,37,0.00,0,,143<br />
2014-1-21,60,43,26,18,1,-8,69,19,7,30.31,30.14,30.06,10,10,10,26,7,41,0.00,0,,238<br />
2014-1-22,42,34,26,27,14,3,100,48,30,30.24,30.12,30.03,10,10,1,14,4,17,0.03,3,Snow,52<br />
2014-1-23,26,18,10,23,12,7,100,81,55,30.50,30.38,30.25,10,7,1,14,5,18,0.03,3,Snow,89<br />
2014-1-24,59,38,17,32,10,-6,86,30,14,30.24,30.17,30.11,10,10,10,22,5,29,0.00,0,,265<br />
2014-1-25,62,48,33,28,18,7,57,32,19,30.18,30.04,29.90,10,10,10,18,6,29,0.00,0,,291<br />
2014-1-26,55,37,19,27,17,14,93,42,20,30.16,29.92,29.76,10,9,2,29,10,41,0.00,3,Snow,277<br />
2014-1-27,19,14,10,18,14,10,100,90,74,30.16,30.09,30.02,10,3,0,7,3,,0.00,8,Snow,17<br />
2014-1-28,28,16,3,16,10,0,100,82,51,30.16,30.08,29.96,10,8,0,9,1,,0.00,0,Snow,38<br />
