
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,30,18,6,21,8,0,93,61,29,30.07,30.01,29.96,10,10,10,6,2,,0.00,4,,191<br />
2015-1-2,37,28,19,21,18,14,93,72,48,30.04,29.92,29.78,10,10,10,6,2,,0.00,2,,279<br />
2015-1-3,32,21,10,27,16,5,93,84,64,30.23,29.94,29.73,10,8,1,20,4,17,0.00,5,Snow,136<br />
2015-1-4,24,14,3,12,6,1,92,77,54,30.29,30.20,30.14,10,10,2,9,2,18,0.00,1,Snow,6<br />
2015-1-5,59,31,3,32,19,0,92,62,31,30.29,30.08,29.88,10,9,2,28,5,34,0.00,1,Snow,96<br />
2015-1-6,53,40,28,32,30,28,100,76,38,30.57,30.34,30.24,10,10,2,18,6,32,0.00,1,,310<br />
2015-1-7,53,35,17,27,19,16,100,89,24,30.78,30.54,30.06,10,6,2,16,4,24,0.00,5,Snow,93<br />
2015-1-8,55,39,21,32,25,18,100,54,23,30.42,30.14,30.00,10,9,3,29,12,39,0.00,2,Snow,48<br />
2015-1-9,26,22,19,27,22,19,100,96,93,30.43,30.23,29.99,10,6,2,8,3,,0.00,8,Snow,58<br />
2015-1-10,53,40,26,34,29,27,100,79,35,29.97,29.93,29.89,10,7,2,7,1,,0.00,1,,271<br />
2015-1-11,44,37,30,36,30,27,100,84,61,30.27,30.03,29.88,10,10,5,8,2,,0.00,6,Snow,54<br />
2015-1-12,32,28,23,32,25,23,100,100,93,30.36,30.28,30.18,7,3,1,7,4,,0.00,8,Snow,37<br />
2015-1-13,33,28,24,32,28,25,100,96,87,30.30,30.20,30.13,10,5,2,4,1,,0.00,8,Snow,30<br />
2015-1-14,41,34,26,30,27,21,100,80,57,30.27,30.18,30.09,10,10,5,5,1,,0.00,3,,174<br />
2015-1-15,55,40,26,23,18,12,74,49,20,30.33,30.22,30.14,10,10,10,8,2,,0.00,0,,150<br />
2015-1-16,60,45,30,21,13,3,69,28,13,30.15,29.96,29.82,10,10,10,30,6,52,0.00,0,,272<br />
2015-1-17,51,43,35,28,9,-2,65,25,12,30.20,30.12,29.95,10,10,10,26,12,39,0.00,1,,269<br />
2015-1-18,62,48,35,23,15,-6,33,23,9,30.06,30.03,29.98,10,10,10,30,8,44,0.00,0,,290<br />
2015-1-19,59,47,35,30,25,19,75,43,23,30.09,30.04,30.00,10,10,10,25,7,34,0.00,2,Rain,53<br />
2015-1-20,44,35,26,30,23,14,100,64,29,30.20,30.14,30.07,10,10,5,9,3,,0.00,4,Snow,99<br />
2015-1-21,32,28,23,27,23,16,100,81,51,30.33,30.24,30.18,10,7,0,10,3,,0.00,7,Snow,335<br />
2015-1-22,41,28,14,18,12,7,93,56,29,30.31,30.23,30.15,10,10,10,8,3,,0.00,0,,195<br />
2015-1-23,50,36,23,21,17,12,69,49,24,30.26,30.19,30.14,10,10,10,9,2,,0.00,1,,159<br />
2015-1-24,53,42,30,28,16,5,75,35,16,30.20,30.06,29.99,10,10,10,36,9,47,0.00,0,,259<br />
2015-1-25,60,45,30,30,25,21,93,51,22,30.20,30.14,30.08,10,10,10,21,5,30,0.00,0,,270<br />
2015-1-26,71,54,37,27,23,19,56,32,15,30.27,30.21,30.18,10,10,10,10,3,17,0.00,0,,191<br />
2015-1-27,69,56,42,25,21,18,46,26,16,30.20,30.08,29.99,10,10,10,20,3,32,0.00,0,,253<br />
2015-1-28,60,48,37,32,23,19,81,35,22,30.37,30.09,29.97,10,10,10,34,10,51,0.00,1,,261<br />
2015-1-29,46,40,35,30,27,25,70,61,46,30.51,30.41,30.30,10,10,10,8,2,,0.00,4,,132<br />
2015-1-30,48,40,32,28,27,23,80,61,43,30.29,30.14,30.03,10,10,10,6,1,,0.00,5,,17<br />
2015-1-31,37,34,30,32,28,25,100,75,60,30.02,29.89,29.79,10,9,0,7,2,,0.16,7,Snow,30<br />
2015-2-1,30,24,17,30,21,16,100,87,69,30.17,30.10,29.99,10,8,0,7,2,,0.06,5,Rain-Snow,117<br />
2015-2-2,51,34,17,27,20,16,100,61,28,30.03,29.96,29.89,10,10,10,20,5,28,0.00,0,,236<br />
2015-2-3,60,50,41,27,23,19,49,36,23,29.97,29.90,29.85,10,10,10,22,6,32,0.00,2,,288<br />
2015-2-4,51,35,19,30,25,19,100,82,33,30.27,30.13,29.86,10,6,0,23,6,30,0.10,6,Snow,35<br />
2015-2-5,60,40,21,23,20,14,100,43,19,30.14,30.07,30.04,10,9,5,23,6,25,0.00,0,,218<br />
2015-2-6,71,56,41,28,17,10,42,24,10,30.10,30.00,29.89,10,10,10,25,4,34,0.00,0,,246<br />
2015-2-7,71,58,46,23,17,9,27,19,12,29.96,29.87,29.80,10,10,10,36,8,48,0.00,0,,233<br />
2015-2-8,64,54,44,27,20,16,39,26,15,30.20,30.07,29.95,10,10,10,37,12,56,0.00,0,,257<br />
2015-2-9,69,51,33,27,22,16,70,35,13,30.19,30.05,29.91,10,10,10,23,4,31,0.00,0,,247<br />
2015-2-10,60,50,39,32,24,14,65,38,16,30.27,30.05,29.94,10,10,10,17,8,26,0.00,2,Rain,271<br />
2015-2-11,50,42,35,36,31,27,93,70,40,30.42,30.36,30.28,10,10,7,10,4,,0.00,4,Rain,160<br />
2015-2-12,55,42,30,30,25,19,81,53,28,30.33,30.21,30.14,10,10,10,9,2,17,0.00,0,,229<br />
2015-2-13,62,48,33,30,23,18,70,40,22,30.30,30.24,30.19,10,10,10,8,2,,0.00,1,,169<br />
2015-2-14,60,46,33,30,23,16,81,42,22,30.22,30.09,29.99,10,10,10,8,2,21,0.00,0,,292<br />
2015-2-15,39,34,30,32,29,25,100,86,61,30.14,30.08,30.01,10,7,0,15,3,20,0.01,5,Snow,352<br />
2015-2-16,32,26,19,28,26,18,100,91,80,30.17,30.14,30.11,10,6,0,9,3,,0.01,7,Snow,269<br />
2015-2-17,37,26,14,19,14,9,100,63,33,30.14,30.07,30.00,10,10,10,9,3,,0.00,2,,118<br />
2015-2-18,44,30,17,27,20,16,93,66,37,30.13,30.09,30.06,10,10,10,8,2,,0.00,0,,314<br />
2015-2-19,60,43,26,25,22,19,80,46,20,30.05,29.93,29.82,10,10,10,36,5,48,0.00,0,,239<br />
2015-2-20,53,42,32,32,26,18,100,62,24,29.96,29.84,29.75,10,9,2,25,5,31,0.00,4,Rain-Snow,318<br />
2015-2-21,32,24,17,32,27,14,100,97,86,30.27,30.02,29.92,10,5,0,29,5,38,0.05,8,Snow,9<br />
2015-2-22,17,14,10,14,10,5,100,88,67,30.38,30.33,30.27,10,3,1,9,4,,0.00,8,Snow,41<br />
2015-2-23,21,14,8,14,9,7,100,83,58,30.37,30.22,30.11,10,8,1,5,1,,0.00,3,Snow,43<br />
2015-2-24,46,30,15,25,16,9,93,59,23,30.15,30.02,29.80,10,10,10,7,2,,0.00,0,,196<br />
2015-2-25,46,34,21,32,23,16,100,67,29,30.18,29.94,29.76,10,6,0,24,11,34,0.19,5,Snow,349<br />
2015-2-26,19,14,10,19,13,9,100,88,74,30.18,30.15,30.09,10,3,1,12,3,,0.02,8,Snow,54<br />
